Age	Place	DivPlace	DIV	DivAge	Time	BostonQualifier	HomeStateOrCountry
33	2417	416	M30-34	30-34	207.78	N	NY
42	1410	211	M40-44	40-44	196.07	N	IRL
39	592	17	F35-39	35-39	179.35	Y	NY
24	1464	11	F20-24	20-24	197	Y	NY
54	584	11	M50-54	50-54	179.25	Y	NY
36	257	9	F35-39	35-39	169.93	Y	NY
35	30	1	F35-39	35-39	146.17	Y	AZ
37	1480	37	F35-39	35-39	197.23	Y	NY
38	2495	399	M35-39	35-39	208.35	N	NY
39	953	172	M35-39	35-39	187.75	N	NY
38	275	54	M35-39	35-39	170.55	Y	HUN
58	1807	41	M55-59	55-59	201.45	Y	AUS
30	965	200	M30-34	30-34	187.98	N	WA
26	566	99	M25-29	25-29	179.02	Y	NY
48	552	41	M45-49	45-49	178.82	Y	TWN
39	2266	360	M35-39	35-39	206.35	N	NY
49	595	45	M45-49	45-49	179.42	Y	NY
45	1828	173	M45-49	45-49	201.75	N	ESP
38	292	60	M35-39	35-39	171.55	Y	NY
21	568	22	M20-24	20-24	179.03	Y	IL
37	1592	42	F35-39	35-39	198.88	Y	NY
27	1850	80	F25-29	25-29	201.95	Y	NY
44	2005	45	F40-44	40-44	203.82	Y	MEX
26	2069	98	F25-29	25-29	204.45	Y	CT
37	2248	358	M35-39	35-39	206.15	N	ESP
40	1528	222	M40-44	40-44	197.95	N	NY
35	2237	70	F35-39	35-39	206.03	Y	NY
26	570	101	M25-29	25-29	179.05	Y	NY
27	577	104	M25-29	25-29	179.2	Y	IL
36	1178	204	M35-39	35-39	191.62	N	CA
26	1422	218	M25-29	25-29	196.22	N	RI
30	2083	83	F30-34	30-34	204.58	Y	OH
26	28	10	M25-29	25-29	146.07	Y	NY
38	2004	329	M35-39	35-39	203.82	N	KAZ
43	533	65	M40-44	40-44	178.5	Y	NY
29	1117	178	M25-29	25-29	190.55	N	MEX
32	2470	424	M30-34	30-34	208.12	N	NY
41	70	3	F40-44	40-44	155.9	Y	SWE
44	1597	36	F40-44	40-44	198.93	Y	NY
21	1864	51	M20-24	20-24	202.1	N	NJ
