State,Fatal crashes,Licensed drivers,Hand held ban
Alabama,934,4043,1
Alaska,64,519,1
Arizona,1054,5681,2
Arkansas,638,2154,2
California,3847,27005,3
Colorado,622,4299,1
Connecticut,295,2509,3
Delaware,116,829,3
District of Columbia,36,521,3
Florida,3331,15715,2
Georgia,1664,7522,3
Hawaii,85,922,3
Idaho,214,1285,3
Illinois,1194,8225,3
Indiana,897,4533,3
Iowa,337,2269,1
Kansas,426,2004,1
Kentucky,780,2906,1
Louisiana,828,3417,2
Maine,164,1048,3
Maryland,567,4454,3
Massachusetts,343,4940,3
Michigan,1084,7027,1
Minnesota,394,4090,3
Mississippi,752,2017,1
Missouri,987,4260,1
Montana,213,827,1
Nebraska,233,1439,1
Nevada,317,2056,3
New Hampshire,104,1060,3
New Jersey,584,6231,3
New Mexico,398,1473,1
New York,1046,12194,3
North Carolina,1538,7637,2
North Dakota,100,539,1
Ohio,1230,8100,2
Oklahoma,652,2551,2
Oregon,508,2945,3
Pennsylvania,1129,8931,1
Rhode Island,67,732,3
South Carolina,1064,3906,1
South Dakota,141,658,3
Tennessee,1217,4877,2
Texas,3874,17667,2
Utah,276,2150,1
Vermont,62,461,3
Virginia,850,5910,2
Washington,560,5813,3
West Virginia,267,1102,3
Wisconsin,614,4316,2
Wyoming,127,427,1
