State,Region,2019,2020,2021,2022,2023,2024
Alabama,South,3.0,5.9,3.4,2.6,2.5,3.1
Alaska,West,5.4,7.8,6.4,4.0,4.2,4.6
Arizona,West,4.9,7.9,5.1,3.8,3.7,3.6
Arkansas,South,3.5,6.1,4.1,3.3,3.1,3.5
California,West,4.2,10.1,7.3,4.2,4.7,5.3
Colorado,West,2.7,7.3,5.4,3.0,3.3,4.3
Connecticut,Northeast,3.6,7.9,6.3,4.2,3.2,3.2
Delaware,South,3.7,7.8,5.5,4.5,3.8,3.7
District of Columbia,South,5.4,8.0,6.8,4.7,4.8,5.2
Florida,South,3.3,7.7,4.6,2.9,3.0,3.4
Georgia,South,3.5,6.5,3.9,3.0,3.3,3.5
Hawaii,West,2.5,11.6,6.0,3.5,2.9,3.0
Idaho,West,2.8,5.4,3.5,2.7,3.2,3.7
Illinois,Midwest,4.0,9.5,6.1,4.6,4.5,5.0
Indiana,Midwest,3.2,7.1,3.9,3.0,3.4,4.2
Iowa,Midwest,2.8,5.3,3.8,2.7,2.9,3.0
Kansas,Midwest,3.2,5.9,3.3,2.7,2.9,3.6
Kentucky,South,4.1,6.6,4.4,3.9,4.3,5.1
Louisiana,South,4.7,8.3,5.6,3.7,3.7,4.4
Maine,Northeast,2.7,5.4,4.6,3.0,2.6,3.1
Maryland,South,3.5,6.8,5.3,3.2,2.2,3.0
Massachusetts,Northeast,3.0,8.9,5.5,3.8,3.5,4.0
Michigan,Midwest,4.1,9.9,5.8,4.2,3.9,4.7
Minnesota,Midwest,3.2,6.2,3.8,2.7,2.8,3.0
Mississippi,South,5.5,8.1,5.5,3.9,3.1,3.2
Missouri,Midwest,3.3,6.1,4.1,2.5,3.1,3.7
Montana,West,3.6,5.9,3.4,2.6,2.7,3.0
Nebraska,Midwest,3.0,4.2,2.7,2.3,2.3,2.8
Nevada,West,3.9,12.8,6.9,5.4,5.2,5.6
New Hampshire,Northeast,2.6,6.7,3.4,2.5,2.3,2.6
New Jersey,Northeast,3.4,9.8,6.6,3.7,4.3,4.5
New Mexico,West,5.0,8.4,7.1,4.0,3.7,4.1
New York,Northeast,3.8,10.0,7.0,4.3,4.1,4.3
North Carolina,South,3.8,7.3,4.9,3.7,3.5,3.6
North Dakota,Midwest,2.3,5.1,3.1,2.1,2.0,2.4
Ohio,Midwest,4.2,8.1,5.1,4.0,3.7,4.3
Oklahoma,South,3.1,6.1,4.0,3.0,3.2,3.3
Oregon,West,3.7,7.6,5.2,4.2,3.8,4.2
Pennsylvania,Northeast,4.5,9.1,6.0,4.4,3.7,3.6
Rhode Island,Northeast,3.6,9.4,5.5,3.2,3.0,4.3
South Carolina,South,2.8,6.2,3.9,3.2,3.0,4.1
South Dakota,Midwest,3.0,4.6,2.6,2.1,1.8,1.8
Tennessee,South,3.4,7.5,4.5,3.4,3.2,3.4
Texas,South,3.5,7.6,5.6,3.9,4.0,4.1
Utah,West,2.5,4.7,2.7,2.3,2.7,3.2
Vermont,Northeast,2.3,5.6,3.7,2.6,1.9,2.3
Virginia,South,2.7,6.2,3.9,2.9,2.7,2.9
Washington,West,4.1,8.4,5.2,4.2,4.2,4.5
West Virginia,South,4.9,8.3,5.1,3.9,3.9,4.1
Wisconsin,Midwest,3.3,6.3,3.8,2.9,2.8,3.0
Wyoming,West,3.7,5.8,4.6,3.6,2.9,3.2
